"wsg","species","total_segs","match_pct","n_diffs","top_pattern","top_pattern_count"
"BBAR","BT",23886,99.84,38,"REAR;NONE | ACCESS;NONE",11
"BBAR","CH",23886,99.97,6,"ACCESS;NONE;INTERMITTENT | ",3
"BBAR","CO",23886,99.98,4,"ACCESS;NONE;INTERMITTENT | ",3
"BBAR","SK",23886,99.98,4,"ACCESS;NONE;INTERMITTENT | ",3
"BOWR","BT",20129,98.92,217,"ACCESS;NONE;INTERMITTENT | ACCESS;ASSESSED;INTERMITTENT",43
"BOWR","CH",20129,99.13,175,"ACCESS;NONE | SPAWN;NONE",82
"BOWR","CO",20129,99.46,108,"ACCESS;NONE | ACCESS;ASSESSED",25
"BOWR","SK",20129,99.04,193,"ACCESS;NONE | SPAWN;NONE",106
"BULK","BT",42937,99.15,366,"ACCESS;ASSESSED | REAR;ASSESSED",80
"BULK","CH",42937,99.72,120,"ACCESS;ASSESSED | REAR;ASSESSED",13
"BULK","CO",42937,99.27,315,"REAR;NONE | SPAWN;NONE",58
"BULK","PK",42937,99.83,71,"ACCESS;NONE | ACCESS;REMEDIATED",11
"BULK","SK",42937,99.69,133,"ACCESS;NONE | SPAWN;NONE",50
"BULK","ST",42937,99.55,193,"ACCESS;ASSESSED | SPAWN;ASSESSED",21
"CARP","BT",16354,99.05,156,"ACCESS;MODELLED;INTERMITTENT | ACCESS;DAM;INTERMITTENT",26
"COTR","BT",28773,99.69,88,"ACCESS;MODELLED;INTERMITTENT | ACCESS;REMEDIATED;INTERMITTENT",21
"COTR","CH",28773,99.71,83,"ACCESS;NONE | SPAWN;NONE",50
"COTR","CO",28773,99.66,98,"REAR;MODELLED | ACCESS;MODELLED",48
"COTR","PK",28773,99.91,27,"ACCESS;MODELLED;INTERMITTENT | ACCESS;REMEDIATED;INTERMITTENT",20
"CRKD","BT",20924,98.73,266,"REAR;MODELLED | REAR;DAM",74
"DOGC","BT",13092,99.76,31,"REAR;NONE | ACCESS;NONE",9
"DOGC","CH",13092,99.97,4,"ACCESS;NONE | ",1
"DOGC","CO",13092,99.95,6,"REAR;NONE | ACCESS;NONE",2
"DOGC","SK",13092,99.94,8,"ACCESS;NONE | SPAWN;NONE",5
"FRAN","BT",40353,99.72,112,"ACCESS;ASSESSED | REAR;ASSESSED",19
"FRAN","CH",40353,99.29,285,"ACCESS;NONE | SPAWN;NONE",106
"FRAN","SK",40353,99.65,143,"ACCESS;NONE | SPAWN;NONE",96
"FRCN","BT",29343,99.5,146,"REAR;NONE | ACCESS;NONE",46
"FRCN","CH",29343,99.61,114,"ACCESS;NONE | SPAWN;NONE",89
"FRCN","CM",29343,99.9,29,"ACCESS;NONE | SPAWN;NONE",19
"FRCN","CO",29343,99.82,54,"ACCESS;NONE | SPAWN;NONE",32
